Species;Treatment;Block;Nb_seeds_tot;Nb_seeds_germin
SR;Control;1;25;17
SR;Vaccinium;1;25;11
SR;Cassiope;1;25;11
SP;Control;1;25;14
SP;Vaccinium;1;25;13
SP;Cassiope;1;25;14
SR;Control;2;25;20
SR;Vaccinium;2;25;12
SR;Cassiope;2;25;11
SP;Control;2;25;15
SP;Vaccinium;2;25;13
SP;Cassiope;2;25;23
SR;Control;3;25;15
SR;Vaccinium;3;25;11
SR;Cassiope;3;25;8
SP;Control;3;25;17
SP;Vaccinium;3;25;19
SP;Cassiope;3;25;14
SR;Control;4;25;10
SR;Vaccinium;4;25;11
SR;Cassiope;4;25;12
SP;Control;4;25;22
SP;Vaccinium;4;25;17
SP;Cassiope;4;25;17
SR;Control;5;25;19
SR;Vaccinium;5;25;10
SR;Cassiope;5;25;15
SP;Control;5;25;18
SP;Vaccinium;5;25;21
SP;Cassiope;5;25;16
SR;Control;6;25;14
SR;Vaccinium;6;25;11
SR;Cassiope;6;25;9
SP;Control;6;25;17
SP;Vaccinium;6;25;17
SP;Cassiope;6;25;19
SR;Control;7;25;10
SR;Vaccinium;7;25;17
SR;Cassiope;7;25;9
SP;Control;7;25;18
SP;Vaccinium;7;25;16
SP;Cassiope;7;25;18
SR;Control;8;25;11
SR;Vaccinium;8;25;12
SR;Cassiope;8;25;14
SP;Control;8;25;21
SP;Vaccinium;8;25;13
SP;Cassiope;8;25;18
